epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.69,0.8629,1.79348,1.14274,0.67175,0.79415,0.80943,0.65975,0.68241,1.13258,1.0295,0.000255256,0.000255256,0.000255256
2,63.4137,0.84171,1.21846,1.14381,0.81033,0.77573,0.89133,0.71653,0.7755,0.89877,1.18432,0.000506525,0.000506525,0.000506525
3,92.7766,0.84007,1.11693,1.14478,0.79681,0.903,0.91733,0.72702,0.76855,0.79212,1.16319,0.000752718,0.000752718,0.000752718
4,120.128,0.82901,1.0879,1.13111,0.81358,0.82752,0.90856,0.76806,0.65456,0.76796,1.09334,0.000746161,0.000746161,0.000746161
5,147.307,0.79142,0.98319,1.11695,0.86329,0.95681,0.9534,0.82741,0.64204,0.60008,1.08293,0.000738548,0.000738548,0.000738548
6,174.569,0.78068,0.96058,1.10931,0.8304,0.89477,0.94162,0.80544,0.67208,0.65192,1.09519,0.000730935,0.000730935,0.000730935
7,201.809,0.76469,0.94887,1.10793,0.87428,0.96112,0.96666,0.83022,0.62071,0.5722,1.0694,0.000723321,0.000723321,0.000723321
8,229.104,0.751,0.92249,1.10492,0.83611,0.877,0.95672,0.81568,0.60127,0.63594,1.07701,0.000715708,0.000715708,0.000715708
9,256.671,0.72942,0.88618,1.09289,0.88276,0.89415,0.93518,0.80562,0.61425,0.63289,1.08009,0.000708095,0.000708095,0.000708095
10,284.468,0.71788,0.85006,1.08503,0.86986,0.93536,0.95121,0.83007,0.58735,0.51686,1.05932,0.000700482,0.000700482,0.000700482
11,311.615,0.7067,0.84715,1.08064,0.90483,0.96894,0.98036,0.84229,0.5919,0.50383,1.07403,0.000692869,0.000692869,0.000692869
12,338.672,0.70647,0.81863,1.08057,0.91426,0.86991,0.94564,0.81324,0.66655,0.54173,1.07161,0.000685256,0.000685256,0.000685256
13,365.943,0.69703,0.79184,1.07349,0.87894,0.93544,0.95128,0.83731,0.54564,0.48441,1.03666,0.000677643,0.000677643,0.000677643
14,393.245,0.7004,0.79208,1.07684,0.89068,0.91952,0.94999,0.8452,0.5395,0.52879,1.0394,0.00067003,0.00067003,0.00067003
15,420.145,0.68585,0.78152,1.06955,0.92605,0.92726,0.96953,0.86142,0.52931,0.5058,1.01508,0.000662417,0.000662417,0.000662417
16,449.118,0.67716,0.7496,1.06397,0.95888,0.96586,0.98864,0.87651,0.54153,0.40257,1.01681,0.000654804,0.000654804,0.000654804
17,476.758,0.67854,0.74225,1.06936,0.90222,0.94849,0.97718,0.88639,0.49007,0.41976,0.99673,0.00064719,0.00064719,0.00064719
18,503.876,0.68122,0.74478,1.06958,0.90005,0.94688,0.97,0.86551,0.5299,0.45463,1.01659,0.000639577,0.000639577,0.000639577
19,530.95,0.66937,0.73999,1.05984,0.92991,0.93388,0.99165,0.88922,0.49427,0.41983,1.01169,0.000631964,0.000631964,0.000631964
20,558.096,0.66752,0.72618,1.06294,0.97388,0.95357,0.98465,0.86578,0.55508,0.41835,1.04532,0.000624351,0.000624351,0.000624351
21,585.168,0.66265,0.71466,1.06246,0.9314,0.96433,0.98358,0.88298,0.50623,0.38975,1.01314,0.000616738,0.000616738,0.000616738
22,612.184,0.65711,0.70075,1.05852,0.95077,0.94127,0.98142,0.87555,0.52812,0.41144,1.02476,0.000609125,0.000609125,0.000609125
