epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7992,0.8409,1.87423,1.20698,0.72537,0.82821,0.89735,0.75928,0.5651,0.89764,1.01503,0.000255261,0.000255261,0.000255261
2,124.983,0.82993,1.15028,1.15911,0.87678,0.9113,0.94022,0.78244,0.56427,0.63924,1.00371,0.000506529,0.000506529,0.000506529
3,178.581,0.82983,1.07927,1.15099,0.83487,0.84602,0.89834,0.69577,0.72395,0.87734,1.12508,0.000752723,0.000752723,0.000752723
4,232.058,0.82211,1.03723,1.14892,0.83323,0.89589,0.89462,0.75145,0.60156,0.69023,1.04159,0.000746161,0.000746161,0.000746161
5,284.823,0.78331,0.9752,1.12222,0.84672,0.88002,0.94634,0.83055,0.55129,0.60082,1.00239,0.000738548,0.000738548,0.000738548
6,337.779,0.76857,0.94462,1.11667,0.80539,0.87381,0.92483,0.776,0.58503,0.6492,1.04168,0.000730935,0.000730935,0.000730935
7,391.653,0.75962,0.89675,1.12181,0.90037,0.9228,0.9596,0.82754,0.54739,0.55525,1.00409,0.000723321,0.000723321,0.000723321
8,444.938,0.74741,0.86722,1.1072,0.88481,0.91982,0.96205,0.8291,0.54392,0.52555,1.00286,0.000715708,0.000715708,0.000715708
9,497.942,0.72697,0.84008,1.10192,0.90133,0.88909,0.95567,0.83617,0.53665,0.59213,1.0051,0.000708095,0.000708095,0.000708095
10,551.609,0.72024,0.80954,1.09198,0.93122,0.95856,0.96589,0.85193,0.49258,0.44677,0.98246,0.000700482,0.000700482,0.000700482
11,604.539,0.70623,0.82609,1.08934,0.89435,0.92655,0.96504,0.85574,0.47447,0.44318,0.98094,0.000692869,0.000692869,0.000692869
12,657.496,0.7216,0.79885,1.09372,0.93284,0.93775,0.97303,0.86905,0.47135,0.42771,0.97205,0.000685256,0.000685256,0.000685256
13,710.425,0.6908,0.77769,1.08199,0.92337,0.95141,0.97067,0.86184,0.52435,0.43811,0.99868,0.000677643,0.000677643,0.000677643
14,764.882,0.68854,0.75238,1.07811,0.86428,0.9445,0.95,0.83996,0.48021,0.46913,0.97946,0.00067003,0.00067003,0.00067003
15,818.252,0.67698,0.73227,1.07597,0.91069,0.947,0.9764,0.87681,0.4705,0.42678,0.97894,0.000662417,0.000662417,0.000662417
16,871.758,0.6682,0.73893,1.07079,0.9344,0.96755,0.97981,0.88201,0.45862,0.35771,0.97824,0.000654804,0.000654804,0.000654804
17,926.219,0.66572,0.71733,1.06652,0.93989,0.93059,0.97664,0.86899,0.47792,0.37653,0.98793,0.00064719,0.00064719,0.00064719
18,979.584,0.67197,0.71537,1.07329,0.94098,0.95777,0.96502,0.86231,0.46371,0.40417,0.98159,0.000639577,0.000639577,0.000639577
19,1033.15,0.66067,0.70166,1.06801,0.9519,0.96254,0.97813,0.87164,0.47685,0.37661,0.98599,0.000631964,0.000631964,0.000631964
